_id,firstName,lastName,email,employeeID,department,designation,skills,points,courses
66fe457006024c48cc3ca43f,Hannah,Jones,hannah.jones@company.com,EMP172793995132518,66fe298f1cf3c64a6475331d,ETL Developer,"[' Python Programming', ' Natural Language Processing', ' Machine Learning', ' Mathematical Theory & Analysis', ' Data Warehousing', ' Cloud Applications']",236,"[{'courseId': ObjectId('66fe20076f4453256b07a954'), 'type': 'Course', 'progress': 100, 'score': 80, 'completionDate': datetime.datetime(2024, 10, 7, 9, 33, 17, 653000), 'isVerified': True, '_id': ObjectId('6703aabf9d16d65ad2b77d2e'), 'createdAt': datetime.datetime(2024, 10, 7, 9, 32, 47, 416000)}, {'courseId': ObjectId('66fe20076f4453256b07a95b'), 'type': 'Course', 'progress': 100, 'score': 76, 'completionDate': datetime.datetime(2024, 10, 7, 9, 33, 31, 204000), 'isVerified': True, '_id': ObjectId('6703aac89d16d65ad2b77d38'), 'createdAt': datetime.datetime(2024, 10, 7, 9, 32, 56, 173000)}, {'courseId': ObjectId('66fe20086f4453256b07aaed'), 'type': 'Course', 'progress': 100, 'score': 80, 'completionDate': datetime.datetime(2024, 10, 7, 12, 9, 24, 130000), 'isVerified': True, '_id': ObjectId('6703cf5bf11c8f97963ac69d'), 'createdAt': datetime.datetime(2024, 10, 7, 12, 8, 59, 108000)}]"
66fe457006024c48cc3ca440,Grace,Brown,grace.brown@company.com,EMP172793995132590,66fe298f1cf3c64a64753329,Junior Full Stack Developer,[],0,[]
66fe457006024c48cc3ca441,David,Johnson,david.johnson@company.com,EMP172793995132625,66fe298f1cf3c64a6475331d,Senior Data Engineer,[],0,[]
66fe457006024c48cc3ca442,Hannah,Miller,hannah.miller@company.com,EMP172793995132617,66fe298f1cf3c64a64753329,Full Stack Developer,[],0,[]
66fe457006024c48cc3ca443,Charlie,Taylor,charlie.taylor@company.com,EMP172793995132737,66fe298f1cf3c64a6475331d,Data Engineer,[],0,[]
66fe457006024c48cc3ca444,Jane,Jones,jane.jones@company.com,EMP172793995132750,66fe298f1cf3c64a6475331d,Senior Data Engineer,[],0,[]
66fe457006024c48cc3ca445,Alice,Johnson,alice.johnson@company.com,EMP172793995132776,66fe298f1cf3c64a6475332f,Junior Business Analyst,[],0,[]
66fe457006024c48cc3ca446,Jane,Taylor,jane.taylor@company.com,EMP172793995132834,66fe298f1cf3c64a64753329,Junior Full Stack Developer,[],0,[]
66fe457006024c48cc3ca447,Jane,Johnson,jane.johnson@company.com,EMP172793995132855,66fe298f1cf3c64a64753323,Machine Learning Engineer,[],0,[]
66fe457006024c48cc3ca448,Grace,Miller,grace.miller@company.com,EMP172793995132833,66fe298f1cf3c64a6475332f,Junior Business Analyst,"[' Business Analysis', ' Data Visualization', ' Business Intelligence', ' Business Communication', ' Leadership and Management', ' Statistical Visualization']",255,"[{'courseId': ObjectId('66fe20076f4453256b07a956'), 'type': 'Course', 'progress': 100, 'score': 75, 'completionDate': datetime.datetime(2024, 10, 8, 3, 31, 34, 111000), 'isVerified': True, '_id': ObjectId('6704a722182e42f5183281f9'), 'createdAt': datetime.datetime(2024, 10, 8, 3, 29, 38, 771000)}, {'courseId': ObjectId('66fe20086f4453256b07ac48'), 'type': 'Course', 'progress': 100, 'score': 90, 'completionDate': datetime.datetime(2024, 10, 8, 3, 31, 6, 64000), 'isVerified': False, '_id': ObjectId('6704a735182e42f5183281fd'), 'createdAt': datetime.datetime(2024, 10, 8, 3, 29, 57, 487000)}, {'courseId': ObjectId('66fe20086f4453256b07ac43'), 'type': 'Course', 'progress': 100, 'score': 90, 'completionDate': datetime.datetime(2024, 10, 8, 3, 30, 45, 777000), 'isVerified': True, '_id': ObjectId('6704a73a182e42f518328202'), 'createdAt': datetime.datetime(2024, 10, 8, 3, 30, 2, 150000)}]"
